variable,label,n,mean,sd,median,p25,p75,min,max
visual_clickbait_bin,视觉点击诱饵二分,4945,0.8438827098078867,0.36300320836364447,1.0,1.0,1.0,0.0,1.0
direct_clickbait_bin,LLM直接点击诱饵二分,4945,0.5049544994944388,0.5000260136360711,1.0,0.0,1.0,0.0,1.0
emotion_intensity,情感强度,4945,0.4608695652173913,0.8041003159662655,0.0,0.0,1.0,0.0,3.0
fear_appeal,恐惧诉求,4945,0.4046511627906977,0.6869820825367279,0.0,0.0,1.0,0.0,2.0
text_overlay_intensity,文字覆盖强度,4945,2.0570273003033366,0.9877811653016922,2.0,2.0,3.0,0.0,3.0
visual_suspense,视觉悬念,4945,0.010111223458038422,0.12025327137889291,0.0,0.0,0.0,0.0,2.0
info_gap,信息缺口,4945,0.11041456016177957,0.356888309989801,0.0,0.0,0.0,0.0,2.0
thumbnail_title_representativeness,图文代表性,4945,2.56845298281092,0.5687163100940673,3.0,2.0,3.0,0.0,3.0
medical_authority_cue,权威线索,4945,0.574721941354904,0.6821582330433693,0.0,0.0,1.0,0.0,2.0
clip_sim,CLIP图文相似度,3325,0.2742525843609023,0.02669114618830077,0.277932,0.264823,0.288251,0.144673,0.401423
play,播放量,4945,308525.9148634985,920870.2514053194,5564.0,205.0,99942.0,0.0,16349464.0
like,点赞,4945,11685.45055611729,46686.478411086384,89.0,5.0,2044.0,0.0,1197982.0
coin,投币,4945,2849.525783619818,20538.340593237306,6.0,0.0,141.0,0.0,747312.0
favorites,收藏,4945,4131.168250758342,18911.67203014401,62.0,2.0,963.0,0.0,634934.0
share,转发,4945,1970.7241658240648,9270.836198047944,25.0,0.0,412.0,0.0,212431.0
