subset,outcome,outcome_label,engagement_tier,visual_clickbait_bin,n,mean,median,sd,mean_difference_clickbait_minus_non,mean_difference_pct
all_success,play,播放量,exposure,0.0,772.0,287775.29792746116,2159.0,981491.5209909527,24589.456206255592,8.544672313206604
all_success,play,播放量,exposure,1.0,4173.0,312364.75413371675,6895.0,909284.7001485993,24589.456206255592,8.544672313206604
all_success,like,点赞,low_cost,0.0,772.0,8881.525906735751,33.0,41858.4496654489,3322.647349914141,37.41077135624009
all_success,like,点赞,low_cost,1.0,4173.0,12204.173256649892,110.0,47512.406467249544,3322.647349914141,37.41077135624009
all_success,coin,投币,high_cost,0.0,772.0,1119.6191709844559,2.0,7095.37393217589,2049.93726323553,183.09236893765103
all_success,coin,投币,high_cost,1.0,4173.0,3169.5564342199855,8.0,22134.113105464014,2049.93726323553,183.09236893765103
all_success,favorites,收藏,high_cost,0.0,772.0,3665.183937823834,28.5,25858.50476014526,552.1908524948817,15.065842857063796
all_success,favorites,收藏,high_cost,1.0,4173.0,4217.374790318716,69.0,17326.671880414324,552.1908524948817,15.065842857063796
all_success,share,转发,diffusion,0.0,772.0,2026.4831606217617,14.5,10755.267990721815,-66.07434202602735,-3.260542367682668
all_success,share,转发,diffusion,1.0,4173.0,1960.4088185957344,27.0,8970.763614303902,-66.07434202602735,-3.260542367682668
complete_model_sample,play,播放量,exposure,0.0,486.0,343086.9732510288,17778.0,911706.8867645268,18533.983776093402,5.4021240155138495
complete_model_sample,play,播放量,exposure,1.0,2839.0,361620.9570271222,30209.0,982788.5777635162,18533.983776093402,5.4021240155138495
complete_model_sample,like,点赞,low_cost,0.0,486.0,12258.037037037036,247.5,50911.94625429959,749.8847664148834,6.117494702856131
complete_model_sample,like,点赞,low_cost,1.0,2839.0,13007.92180345192,496.0,47966.63105092057,749.8847664148834,6.117494702856131
complete_model_sample,coin,投币,high_cost,0.0,486.0,1714.2592592592594,16.5,8878.56700559568,1165.3631429950553,67.98056575751646
complete_model_sample,coin,投币,high_cost,1.0,2839.0,2879.6224022543147,36.0,21141.0431330403,1165.3631429950553,67.98056575751646
complete_model_sample,favorites,收藏,high_cost,0.0,486.0,5289.61316872428,181.0,32186.060886095638,-430.1284910208633,-8.131567986182237
complete_model_sample,favorites,收藏,high_cost,1.0,2839.0,4859.484677703416,268.0,18705.713857706312,-430.1284910208633,-8.131567986182237
complete_model_sample,share,转发,diffusion,0.0,486.0,2909.1893004115227,104.5,12827.72971215933,-772.6908854766866,-26.560350863636984
complete_model_sample,share,转发,diffusion,1.0,2839.0,2136.498414934836,115.0,9204.959105187192,-772.6908854766866,-26.560350863636984
