table,outcome,engagement_tier,variable,variable_label,irr,beta,se,z,p,sig,pct_change,nobs
binary_nb_cluster,play,exposure,visual_clickbait_bin,视觉点击诱饵(二分),0.9482148172071382,-0.05317420196764411,0.15886083743427623,-0.3347219039408834,0.7378348766950383,,-5.178518279286182,3325
binary_nb_cluster,play,exposure,clip_sim_z,CLIP图文相似度,0.8634577651454797,-0.1468102938301849,0.05247791289356423,-2.797563503105501,0.005148964441211384,**,-13.654223485452032,3325
binary_nb_cluster,like,low_cost,visual_clickbait_bin,视觉点击诱饵(二分),0.7912871612086808,-0.23409434143393568,0.19348083871994617,-1.2099096891593255,0.22631354888513755,,-20.87128387913192,3325
binary_nb_cluster,like,low_cost,clip_sim_z,CLIP图文相似度,0.8168684439295809,-0.20227722042979063,0.07231844920943693,-2.7970348180999878,0.0051573975057332055,**,-18.31315560704191,3325
binary_nb_cluster,coin,high_cost,visual_clickbait_bin,视觉点击诱饵(二分),0.8898437973037806,-0.11670934030683405,0.20632564325919486,-0.5656560108731561,0.5716276441139749,,-11.01562026962194,3325
binary_nb_cluster,coin,high_cost,clip_sim_z,CLIP图文相似度,0.9146176886934614,-0.08924912758497998,0.07206069359641983,-1.2385271793916528,0.2155206505781334,,-8.538231130653863,3325
binary_nb_cluster,favorites,high_cost,visual_clickbait_bin,视觉点击诱饵(二分),0.9184732921839598,-0.08504245239374816,0.17094084016212377,-0.4974963988306842,0.6188390417727545,,-8.152670781604021,3325
binary_nb_cluster,favorites,high_cost,clip_sim_z,CLIP图文相似度,0.8852441623116536,-0.12189178240706204,0.06380165236628968,-1.9104800249885838,0.05607143587133204,+,-11.47558376883464,3325
binary_nb_cluster,share,diffusion,visual_clickbait_bin,视觉点击诱饵(二分),0.7507737377946998,-0.2866509538444013,0.18005267224203012,-1.5920394308787589,0.11137584501511635,,-24.92262622053002,3325
binary_nb_cluster,share,diffusion,clip_sim_z,CLIP图文相似度,0.858668231989687,-0.1523726574583082,0.06758705262775355,-2.2544651902121675,0.02416691817430569,*,-14.1331768010313,3325
