table,outcome,engagement_tier,variable,variable_label,irr,beta,se,z,p,sig,pct_change,nobs
interaction_nb_cluster,play,exposure,visual_clickbait_bin,visual_clickbait_bin,0.9750767450013036,-0.025239098260131654,0.15808308653278644,-0.15965717024950082,0.8731511412029883,,-2.492325499869641,3325
interaction_nb_cluster,play,exposure,rep_z,rep_z,0.9033194809782316,-0.10167898860452276,0.06799495744851454,-1.4953901350922032,0.134812653596647,,-9.668051902176844,3325
interaction_nb_cluster,play,exposure,visual_clickbait_bin:rep_z,visual_clickbait_bin:rep_z,0.8968018797271831,-0.10892031118804388,0.09192887404576883,-1.184832429621791,0.2360837077334177,,-10.319812027281694,3325
interaction_nb_cluster,like,low_cost,visual_clickbait_bin,visual_clickbait_bin,0.8061929228689667,-0.21543220671893806,0.20748315757025101,-1.0383117802995436,0.29912492600062035,,-19.38070771310333,3325
interaction_nb_cluster,like,low_cost,rep_z,rep_z,0.9469341721749124,-0.05452570017103688,0.09345448933676322,-0.5834465584050601,0.5595927231688758,,-5.306582782508762,3325
interaction_nb_cluster,like,low_cost,visual_clickbait_bin:rep_z,visual_clickbait_bin:rep_z,0.8775305973851205,-0.13064345543506697,0.11240248726615024,-1.1622826025702189,0.2451206910434871,,-12.246940261487948,3325
interaction_nb_cluster,coin,high_cost,visual_clickbait_bin,visual_clickbait_bin,0.9249901027863782,-0.07797224121735599,0.21675003989781338,-0.35973345727694417,0.7190464694270498,,-7.500989721362183,3325
interaction_nb_cluster,coin,high_cost,rep_z,rep_z,0.9156171929054586,-0.08815691333269154,0.11760476008410946,-0.7496032751535127,0.4534936777012313,,-8.438280709454137,3325
interaction_nb_cluster,coin,high_cost,visual_clickbait_bin:rep_z,visual_clickbait_bin:rep_z,1.0127707837686746,0.012689925001837049,0.14652381923914018,0.08660656723072403,0.9309842456229116,,1.2770783768674576,3325
interaction_nb_cluster,favorites,high_cost,visual_clickbait_bin,visual_clickbait_bin,0.9511327071134008,-0.050101681363174,0.16328100981792976,-0.30684328458674426,0.7589626600974039,,-4.886729288659919,3325
interaction_nb_cluster,favorites,high_cost,rep_z,rep_z,0.9118284561820887,-0.09230340289170111,0.08478253913662026,-1.0887076965572071,0.27628280667593785,,-8.817154381791125,3325
interaction_nb_cluster,favorites,high_cost,visual_clickbait_bin:rep_z,visual_clickbait_bin:rep_z,0.927330925264459,-0.07544479193752811,0.1112010183228032,-0.6784541461528791,0.4974837878804994,,-7.266907473554096,3325
interaction_nb_cluster,share,diffusion,visual_clickbait_bin,visual_clickbait_bin,0.7509701290635273,-0.28638940289116466,0.18298282007349154,-1.5651163468578189,0.11755563129729982,,-24.902987093647265,3325
interaction_nb_cluster,share,diffusion,rep_z,rep_z,1.0025459695251584,0.0025427340352224444,0.09376581227466683,0.027117922551281808,0.9783656798883786,,0.2545969525158398,3325
interaction_nb_cluster,share,diffusion,visual_clickbait_bin:rep_z,visual_clickbait_bin:rep_z,0.9439436414546102,-0.0576888164677926,0.1161585671602675,-0.49663849923525305,0.6194439989480076,,-5.605635854538981,3325
