outcome,variable,variable_label,ame,ame_boot_se,ame_ci_lo,ame_ci_hi,n_boot_ok
play,emotion_z,情感强度,57724.40161952146,17794.47224526653,30810.320342907988,100880.63965673714,300
play,fear_z,恐惧诉求,34089.95533184887,20567.390134633624,-4625.922324152775,75602.88691406196,300
play,text_z,文字覆盖强度,-8115.390546203111,22472.946832187397,-58878.629585166105,27159.028231363292,300
play,suspense_z,视觉悬念,23720.188071789886,11518.156504437671,-926.7309852560215,42700.181847650754,300
play,info_gap_z,信息缺口,-13657.281664234402,19368.60809699063,-55234.820230253,19641.229301078994,300
play,rep_z,图文代表性,-48680.34426901165,18342.729352987568,-83423.59778876767,-16243.714937409335,300
play,auth_z,权威线索,-108940.98447658574,24683.698789715574,-165160.54165597382,-64773.12334801692,300
play,clip_sim_z,CLIP图文相似度,-29540.370022468716,21727.286265135117,-71136.64789529843,10455.961962096886,300
like,emotion_z,情感强度,1583.8300744645776,808.833553925563,277.31552719913475,3657.0049745400293,298
like,fear_z,恐惧诉求,-253.28470644761913,876.1649848260585,-1769.2520045467893,1492.3328622339811,298
like,text_z,文字覆盖强度,-642.1222817549746,1062.7434540949432,-2970.003405035428,1155.5733381123805,298
like,suspense_z,视觉悬念,870.1783426307854,533.838838831094,-281.4773701849499,1806.731410705811,298
like,info_gap_z,信息缺口,-624.572551240744,691.9185435517621,-2053.2836182096435,611.8559296453569,298
like,rep_z,图文代表性,-1532.50960317069,840.6972755407118,-3581.94270891177,-42.5778319507951,298
like,auth_z,权威线索,-3349.289026901619,1150.36291042424,-5628.789983655318,-1522.819123108115,298
like,clip_sim_z,CLIP图文相似度,-2267.3134359175842,1187.8931826354526,-4065.7602989316542,180.4231620605423,298
coin,emotion_z,情感强度,194.3900024634955,140.85385608083587,-15.88784102434351,528.4440728084389,300
coin,fear_z,恐惧诉求,-133.52060241458852,153.68683631856297,-443.8138907755706,159.55532327605832,300
coin,text_z,文字覆盖强度,100.95551897019233,153.71965834409403,-249.69811084602696,350.43564730200876,300
coin,suspense_z,视觉悬念,16.616783055763218,68.94570492902952,-134.92417345102754,143.1198487272762,300
coin,info_gap_z,信息缺口,-37.71118349609617,132.93474959664113,-280.42453194101125,222.06025735673782,300
coin,rep_z,图文代表性,-143.5825891944789,161.9159136422993,-500.75778771248775,152.95784212218945,300
coin,auth_z,权威线索,-216.93007054044088,173.22776872942214,-580.6107137979558,58.490919550803746,300
coin,clip_sim_z,CLIP图文相似度,-233.09668801294325,152.9060284397892,-514.1710191533119,72.97423837620379,300
favorites,emotion_z,情感强度,204.74317208358065,361.36223607958493,-371.79153235814846,1011.6063167809729,300
favorites,fear_z,恐惧诉求,-444.01276635692506,392.85026360450223,-1246.0782367677689,279.8934815043155,300
favorites,text_z,文字覆盖强度,243.88143354700577,321.3194275433097,-461.3081794530087,768.5432430012264,300
favorites,suspense_z,视觉悬念,159.2240615799105,193.0818601469162,-254.4102659401169,526.2000697201206,300
favorites,info_gap_z,信息缺口,-39.81659138435717,327.75423467310077,-725.3539312570065,578.2817930821717,300
favorites,rep_z,图文代表性,-519.7036768039895,372.79143462630947,-1223.48424558409,222.0037820234833,300
favorites,auth_z,权威线索,-1380.8355609714895,461.378118360292,-2306.4174611187764,-471.75072096393325,300
favorites,clip_sim_z,CLIP图文相似度,-600.7477312955001,377.44067180993216,-1309.3721207782053,152.77969424820955,300
share,emotion_z,情感强度,88.26367062946298,132.21432947063482,-124.09711246225112,377.8556544231086,300
share,fear_z,恐惧诉求,-111.52349275918203,168.02090248581288,-446.2882079797173,212.72124888399972,300
share,text_z,文字覆盖强度,-63.14184804005105,162.18228801690378,-433.58528385095036,205.0462789299901,300
share,suspense_z,视觉悬念,176.16876187715195,142.43439406509611,-143.31581848197334,359.6582097545255,300
share,info_gap_z,信息缺口,-20.9039124287069,128.7642521560907,-263.650085853094,263.3023766546168,300
share,rep_z,图文代表性,-15.595298402992032,159.49807760293476,-319.52032552499173,286.14179747563355,300
share,auth_z,权威线索,-366.35203551278664,177.27053249125498,-756.3353430769797,-39.50353729257534,300
share,clip_sim_z,CLIP图文相似度,-304.54628369911285,200.83342265974676,-713.2102494716412,38.07573823555525,300
