table,outcome,outcome_label,engagement_tier,variable,variable_label,beta,se_hc3,t,p,sig,percent_change_approx,nobs,r2
dimension_ols_hc3,play,播放量,exposure,clip_sim_z,CLIP图文相似度,-0.08228266148552583,0.04212940299601942,-1.9530934604817514,0.05080852172790826,+,-7.898841260386691,3325,0.448356056153704
dimension_ols_hc3,play,播放量,exposure,emotion_z,情感强度,0.2096604071961191,0.04100195178446177,5.1134250461601845,3.1636932355674835e-07,***,23.325918289311986,3325,0.448356056153704
dimension_ols_hc3,play,播放量,exposure,fear_z,恐惧诉求,0.18512918584866672,0.04048812763900048,4.572431392711272,4.820971003762236e-06,***,20.337388896369333,3325,0.448356056153704
dimension_ols_hc3,play,播放量,exposure,text_z,文字覆盖强度,0.025909773850454287,0.04452256905719224,0.5819469630598233,0.5606024058757199,,2.6248349859011366,3325,0.448356056153704
dimension_ols_hc3,play,播放量,exposure,suspense_z,视觉悬念,0.07513948372949444,0.04514928269452709,1.6642453488768874,0.09606340893495857,+,7.80345086719485,3325,0.448356056153704
dimension_ols_hc3,play,播放量,exposure,info_gap_z,信息缺口,-0.04071766949611731,0.03854930469534905,-1.0562491286912854,0.290854410745936,,-3.9899842752464942,3325,0.448356056153704
dimension_ols_hc3,play,播放量,exposure,rep_z,图文代表性,-0.11711798613182055,0.03917015466138928,-2.989980181193051,0.002789955485077173,**,-11.051975936086189,3325,0.448356056153704
dimension_ols_hc3,play,播放量,exposure,auth_z,权威线索,-0.38960244011234774,0.03897702500033963,-9.995694645985754,1.5916733029982413e-23,***,-32.26739013340567,3325,0.448356056153704
dimension_ols_hc3,like,点赞,low_cost,clip_sim_z,CLIP图文相似度,-0.10102273174711413,0.04265049466680643,-2.3686180555776066,0.017854681170928133,*,-9.608751485770362,3325,0.5209870393959639
dimension_ols_hc3,like,点赞,low_cost,emotion_z,情感强度,0.19864856687555166,0.040724756780031214,4.877833106493986,1.0725761570233672e-06,***,21.975322887980873,3325,0.5209870393959639
dimension_ols_hc3,like,点赞,low_cost,fear_z,恐惧诉求,0.10657223565963957,0.03996167674337536,2.6668609614161536,0.007656333921719506,**,11.245828270122837,3325,0.5209870393959639
dimension_ols_hc3,like,点赞,low_cost,text_z,文字覆盖强度,0.057180681693492885,0.0442778542161736,1.291405889145509,0.19656296959966668,,5.884710740156152,3325,0.5209870393959639
dimension_ols_hc3,like,点赞,low_cost,suspense_z,视觉悬念,0.04645194181412793,0.04313618011726734,1.0768672999752544,0.28153955368110506,,4.754773461507189,3325,0.5209870393959639
dimension_ols_hc3,like,点赞,low_cost,info_gap_z,信息缺口,-0.028508685365359637,0.0385804436778052,-0.7389413559740966,0.4599426083930803,,-2.810614714372406,3325,0.5209870393959639
dimension_ols_hc3,like,点赞,low_cost,rep_z,图文代表性,-0.1283485812906632,0.03929537530622172,-3.2662515700757666,0.0010898138506585636,**,-12.04532678330481,3325,0.5209870393959639
