table,outcome,engagement_tier,variable,variable_label,irr,beta,se,z,p,sig,pct_change,nobs
poisson_cluster,play,exposure,emotion_z,情感强度,1.112789576142746,0.10686999434988925,0.04420237672098253,2.4177431685287383,0.015617095333016829,*,11.2789576142746,3325
poisson_cluster,play,exposure,fear_z,恐惧诉求,1.0449311942742137,0.043951040449246526,0.05233499307697423,0.8398021641963992,0.40101931982368755,,4.493119427421366,3325
poisson_cluster,play,exposure,text_z,文字覆盖强度,1.0709305092878623,0.06852790540898124,0.05183994048628523,1.3219132731664878,0.18619703201396676,,7.0930509287862265,3325
poisson_cluster,play,exposure,suspense_z,视觉悬念,1.0514991693953937,0.050216926236761585,0.03589729925504826,1.3989054129106815,0.1618413491802011,,5.149916939539367,3325
poisson_cluster,play,exposure,info_gap_z,信息缺口,0.9950711368168201,-0.00494105009087763,0.040049927756149455,-0.1233722597694064,0.9018123227335656,,-0.49288631831798657,3325
poisson_cluster,play,exposure,rep_z,图文代表性,0.8728339191020709,-0.13600998281914323,0.03823792796860437,-3.5569391451026213,0.0003752010285700664,***,-12.716608089792913,3325
poisson_cluster,play,exposure,auth_z,权威线索,0.8040658908787318,-0.21807405933193383,0.058696526961449114,-3.715280453904218,0.00020297843791448395,***,-19.593410912126817,3325
poisson_cluster,play,exposure,clip_sim_z,CLIP图文相似度,0.9131511244468701,-0.09085388695145882,0.041936633886675845,-2.166456354054802,0.03027633163305174,*,-8.684887555312992,3325
poisson_cluster,like,low_cost,emotion_z,情感强度,1.0777567769885597,0.07488182271493064,0.051687293525621306,1.4487472182657783,0.14740818875860806,,7.775677698855965,3325
poisson_cluster,like,low_cost,fear_z,恐惧诉求,0.9840982312826033,-0.016029558373189683,0.06669411844539959,-0.24034440737548074,0.8100632716018151,,-1.590176871739668,3325
poisson_cluster,like,low_cost,text_z,文字覆盖强度,1.1064888813840927,0.10119183200307479,0.07044242579045132,1.4365182752805148,0.15085491988128888,,10.648888138409273,3325
poisson_cluster,like,low_cost,suspense_z,视觉悬念,1.050971757433229,0.049715219443580684,0.04596409758552616,1.0816098227768913,0.2794259379526074,,5.09717574332289,3325
poisson_cluster,like,low_cost,info_gap_z,信息缺口,0.9862321357062972,-0.013863520338398667,0.054765929589696456,-0.25314133152241647,0.8001590007962007,,-1.3767864293702803,3325
poisson_cluster,like,low_cost,rep_z,图文代表性,0.8534304857100804,-0.15849118621560782,0.04915700245540048,-3.2241832963554855,0.0012633250888965898,**,-14.65695142899196,3325
poisson_cluster,like,low_cost,auth_z,权威线索,0.920276470154907,-0.08308114304550661,0.07109305641375688,-1.168625281236748,0.24255463788002973,,-7.9723529845093015,3325
poisson_cluster,like,low_cost,clip_sim_z,CLIP图文相似度,0.9233512016828794,-0.07974561665299158,0.04821924944438017,-1.6538128977925377,0.09816553453370712,+,-7.664879831712057,3325
poisson_cluster,coin,high_cost,emotion_z,情感强度,0.9355199915369391,-0.06665276360114761,0.08247195636766272,-0.8081870072780544,0.4189829360816395,,-6.4480008463060905,3325
poisson_cluster,coin,high_cost,fear_z,恐惧诉求,1.0409997104247986,0.0401815114625708,0.13445321366387086,0.2988512536637719,0.7650535421439439,,4.099971042479855,3325
poisson_cluster,coin,high_cost,text_z,文字覆盖强度,1.272108073492562,0.2406754247462908,0.10832437607183806,2.2218030093861865,0.026296621271068188,*,27.210807349256207,3325
poisson_cluster,coin,high_cost,suspense_z,视觉悬念,1.0052060968244656,0.005192591953890067,0.03236476905038024,0.16043964181567552,0.8725347644053811,,0.52060968244656,3325
poisson_cluster,coin,high_cost,info_gap_z,信息缺口,1.0078521501829212,0.007821482485308683,0.08740315471914259,0.08948741622017978,0.9286945538613502,,0.785215018292118,3325
poisson_cluster,coin,high_cost,rep_z,图文代表性,0.9988049444012244,-0.0011957702471375063,0.08454130510676837,-0.014144213241413198,0.9887149269108645,,-0.11950555987756406,3325
poisson_cluster,coin,high_cost,auth_z,权威线索,0.9921993033523349,-0.007831281239669153,0.11150003065478396,-0.07023568687542014,0.9440060704298727,,-0.780069664766514,3325
poisson_cluster,coin,high_cost,clip_sim_z,CLIP图文相似度,1.0908648166766741,0.0869707914529994,0.07705295000709135,1.1287146234504362,0.2590182384015858,,9.086481667667412,3325
poisson_cluster,favorites,high_cost,emotion_z,情感强度,1.0669677489936917,0.0648207459899767,0.06556711660617244,0.9886166930188679,0.3228507157480539,,6.696774899369173,3325
poisson_cluster,favorites,high_cost,fear_z,恐惧诉求,0.9152016438249578,-0.08861086222080639,0.09394512493342966,-0.9432193770948394,0.345568704061343,,-8.479835617504216,3325
poisson_cluster,favorites,high_cost,text_z,文字覆盖强度,1.0568654787673413,0.05530743177604488,0.07286491077995631,0.759040684796376,0.44782821956008967,,5.686547876734127,3325
poisson_cluster,favorites,high_cost,suspense_z,视觉悬念,0.9748396630468177,-0.025482269664480722,0.034992138451739985,-0.728228419066901,0.46647377194550743,,-2.5160336953182316,3325
poisson_cluster,favorites,high_cost,info_gap_z,信息缺口,1.0445257834768027,0.043562986704359444,0.057650134608567306,0.7556441455018842,0.4498625804980567,,4.452578347680269,3325
poisson_cluster,favorites,high_cost,rep_z,图文代表性,0.8996209966345715,-0.10578171920206206,0.08707687104914505,-1.2148084551908191,0.2244391552729541,,-10.03790033654285,3325
poisson_cluster,favorites,high_cost,auth_z,权威线索,0.880218392660986,-0.1275852288214354,0.08141453225926536,-1.567106329557222,0.1170898399649721,,-11.9781607339014,3325
poisson_cluster,favorites,high_cost,clip_sim_z,CLIP图文相似度,0.926758661652155,-0.07606209072882095,0.051102121150294604,-1.4884331416521337,0.13663670186647717,,-7.324133834784496,3325
poisson_cluster,share,diffusion,emotion_z,情感强度,0.9976285984287326,-0.002374217797122672,0.058809273606214,-0.04037148652813498,0.9677969621640988,,-0.2371401571267362,3325
poisson_cluster,share,diffusion,fear_z,恐惧诉求,0.9867576791925444,-0.013330782161335483,0.1082661495027161,-0.12312973374010175,0.9020043663053766,,-1.3242320807455576,3325
poisson_cluster,share,diffusion,text_z,文字覆盖强度,1.0707703623316305,0.06837835421940806,0.0908680685874385,0.752501459339487,0.4517495525852383,,7.077036233163048,3325
poisson_cluster,share,diffusion,suspense_z,视觉悬念,0.9773563184253052,-0.02290398674974919,0.039186626983870015,-0.5844847722968584,0.5588942073868804,,-2.2643681574694763,3325
poisson_cluster,share,diffusion,info_gap_z,信息缺口,1.0481484896603863,0.04702526446920662,0.05241726404947889,0.897133135846569,0.36964787906053875,,4.814848966038632,3325
poisson_cluster,share,diffusion,rep_z,图文代表性,0.914961847843262,-0.08887291092209439,0.061448470435238545,-1.4462998068561994,0.14809312991977913,,-8.503815215673804,3325
poisson_cluster,share,diffusion,auth_z,权威线索,0.9627499761799094,-0.03796153102883877,0.08165549644560235,-0.46489866183261974,0.6420040288591586,,-3.725002382009057,3325
poisson_cluster,share,diffusion,clip_sim_z,CLIP图文相似度,0.8850855407578729,-0.12207098242153404,0.06013439486619031,-2.0299694158919137,0.04235964818924563,*,-11.491445924212707,3325
